"word","meaning","pos","belong","pron_uk","pron_us"
"accident","accident","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accid/accident__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accident__us_2_rr.ogg"
"accidentally","accidentally","adverb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accid/accidentally__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accidentally__us_1.ogg"
"accommodate","accommodate","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accommodate__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodate__us_1.ogg"
"accommodation","accommodation","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accommodation__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodation__us_2.ogg"
"accompany","accompany","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accompany__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accompany__us_2.ogg"
"accomplish","accomplish","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accomplish__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplish__us_1.ogg"
"accomplishment","accomplishment","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accom/accomplishment__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplishment__us_1.ogg"
"accordance","accordance","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/accordance__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordance__us_1.ogg"
"according to","according to","preposition","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/according_to_1_gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/according_to_1_us_3.ogg"
"accordingly","accordingly","adverb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accor/accordingly__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordingly__us_1.ogg"
"account","account","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/account__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg"
"account","account","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/account__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg"
"accountability","accountability","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accountability__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountability__us_1.ogg"
"accountable","accountable","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accountable__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountable__us_1.ogg"
"accountant","accountant","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accountant__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountant__us_1.ogg"
"accounting","accounting","noun","","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accou/accounting__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accounting__us_1.ogg"
"accumulate","accumulate","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accum/accumulate__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulate__us_1.ogg"
"accumulation","accumulation","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accum/accumulation__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulation__us_1.ogg"
"accuracy","accuracy","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accur/accuracy__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accuracy__us_1.ogg"
"accurate","accurate","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accur/accurate__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurate__us_1.ogg"
"accurately","accurately","adverb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accur/accurately__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurately__us_1.ogg"
"accusation","accusation","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accus/accusation__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accusation__us_1.ogg"
"accuse","accuse","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accus/accuse__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accuse__us_2.ogg"
"accused","accused","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accus/accused__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accused__us_1.ogg"
"achieve","achieve","verb","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ach/achie/achieve__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achieve__us_2.ogg"
"achievement","achievement","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ach/achie/achievement__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achievement__us_1.ogg"
"acid","acid","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aci/acid_/acid__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg"
"acid","acid","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aci/acid_/acid__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg"
"acknowledge","acknowledge","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/ack/ackno/acknowledge__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ack/ackno/acknowledge__us_1.ogg"
"acquire","acquire","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acq/acqui/acquire__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquire__us_2.ogg"
"acquisition","acquisition","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acq/acqui/acquisition__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquisition__us_1.ogg"
